property_type,zip,neighborhood,latitude,longitude
Office,98108,GREATER DUWAMISH,47.54966924,-122.3276807
Office,98109,MAGNOLIA / QUEEN ANNE,47.62483876,-122.34852620000001
Non-Refrigerated Warehouse,98133,NORTHWEST,47.71285067,-122.3442059
Mixed Use Property,98122,EAST,47.6156585,-122.31744950000001
Supermarket/Grocery Store,98103,NORTHWEST,47.69270472,-122.35506229999999
Office,98109,LAKE UNION,47.6212428,-122.3297865
Non-Refrigerated Warehouse,98109,LAKE UNION,47.62145274,-122.33112849999999
Office,98109,LAKE UNION,47.61985503,-122.33048111
Retail Store,98109,LAKE UNION,47.62035862,-122.3297037
Office,98144,CENTRAL,47.59283131,-122.30874909999999
Office,98144,GREATER DUWAMISH,47.59364401,-122.3109277
Office,98105,NORTHEAST,47.66514721,-122.30180940000001
Other,98122,CENTRAL,47.61448142,-122.3098028
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56415346,-122.3275518
Mixed Use Property,98144,GREATER DUWAMISH,47.59282532,-122.3168305
Office,98102,LAKE UNION,47.64039142,-122.326242
Distribution Center,98108,GREATER DUWAMISH,47.53692799,-122.3326807
Mixed Use Property,98109,LAKE UNION,47.62386402,-122.33080790000001
Office,98109,LAKE UNION,47.62492806,-122.32978119999999
Retail Store,98125,NORTH,47.70592963,-122.3257763
Office,98133,NORTHWEST,47.70744968,-122.3317136
Strip Mall,98125,SHARED: NORTH & NORTHWEST,47.70940170000001,-122.32033190000001
Office,98133,NORTHWEST,47.70732866,-122.33277279999999
Distribution Center,98106,DELRIDGE NEIGHBORHOODS,47.53914935,-122.341353
Non-Refrigerated Warehouse,98106,DELRIDGE NEIGHBORHOODS,47.53627727,-122.33751310000001
Office,98109,MAGNOLIA / QUEEN ANNE,47.63108155,-122.34191090000002
Parking,98133,NORTHWEST,47.7088653,-122.3346333
Medical Office,98133,NORTHWEST,47.71269972,-122.33763429999999
Non-Refrigerated Warehouse,98103,NORTHWEST,47.69818968,-122.34289799999999
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.52696432,-122.3293949
Medical Office,98133,NORTHWEST,47.70458235,-122.3325262
Retail Store,98125,NORTH,47.70855501,-122.32376419
Mixed Use Property,98102,LAKE UNION,47.634439799999996,-122.32468229999999
Office,98109,LAKE UNION,47.62464437,-122.33126979999999
Office,98119,MAGNOLIA / QUEEN ANNE,47.62516702,-122.36717659999998
Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56156057,-122.3275348
Mixed Use Property,98103,LAKE UNION,47.66088623,-122.3356731
Mixed Use Property,98102,LAKE UNION,47.63453293,-122.32646179
Other,98102,LAKE UNION,47.63103515,-122.32752279999998
Office,98109,LAKE UNION,47.62998519,-122.33963729999999
Office,98109,LAKE UNION,47.6343814,-122.3396625
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.55487662,-122.3276403
Supermarket/Grocery Store,98118,SOUTHEAST,47.52100473,-122.26813940000001
Distribution Center,98106,SHARED: GREATER DUWAMISH & DELRIDGE NEIGHBORHOODS,47.56679281,-122.3523106
Office,98105,NORTHEAST,47.6615192,-122.31623789999999
Medical Office,98109,LAKE UNION,47.62395105,-122.33391200000001
Office,98106,DELRIDGE NEIGHBORHOODS,47.5679286,-122.3641365
Retail Store,98108,GREATER DUWAMISH,47.5666089,-122.3234388
Medical Office,98122,CENTRAL,47.60648346,-122.31105804
Retail Store,98106,DELRIDGE NEIGHBORHOODS,47.53641069,-122.36381019999999
Office,98109,MAGNOLIA / QUEEN ANNE,47.63380792,-122.34079640000002
Other - Recreation,98126,DELRIDGE NEIGHBORHOODS,47.56800769,-122.3676399
Strip Mall,98118,SOUTHEAST,47.56922192,-122.289826
Lifestyle Center,98109,MAGNOLIA / QUEEN ANNE,47.62508085,-122.35519120000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.62496806,-122.359705
Office,98119,MAGNOLIA / QUEEN ANNE,47.65676796,-122.3704009
Retail Store,98119,MAGNOLIA / QUEEN ANNE,47.63720081,-122.37696329999999
Retail Store,98119,MAGNOLIA / QUEEN ANNE,47.632965000000006,-122.376907
Office,98119,MAGNOLIA / QUEEN ANNE,47.63167638,-122.3756112
Office,98119,MAGNOLIA / QUEEN ANNE,47.62299616,-122.36449040000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.62243869,-122.3637884
Office,98119,MAGNOLIA / QUEEN ANNE,47.62183942,-122.36301540000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.62080128,-122.36172109999998
Office,98119,MAGNOLIA / QUEEN ANNE,47.61897016,-122.3594294
Retail Store,98117,NORTHWEST,47.69195845,-122.3587219
Office,98107,BALLARD,47.66328657,-122.3755312
Non-Refrigerated Warehouse,98199,MAGNOLIA / QUEEN ANNE,47.65924951,-122.38431969999999
Other,98105,NORTHEAST,47.65525588,-122.32136979999999
Office,98103,LAKE UNION,47.64900288,-122.3480372
Office,98103,LAKE UNION,47.64929238,-122.3519295
Office,98109,MAGNOLIA / QUEEN ANNE,47.62853241,-122.34191132
Mixed Use Property,98109,LAKE UNION,47.62881703,-122.3288272
Laboratory,98102,LAKE UNION,47.63084183,-122.3268537
Office,98119,MAGNOLIA / QUEEN ANNE,47.62270587,-122.35896059999999
Office,98109,MAGNOLIA / QUEEN ANNE,47.61946053,-122.3563784
Mixed Use Property,98122,EAST,47.61500045,-122.31983819999999
College/University,98122,CENTRAL,47.60963749,-122.3150317
Other,98108,GREATER DUWAMISH,47.56299869,-122.3255706
Office,98108,GREATER DUWAMISH,47.55267715,-122.32740784
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54849916,-122.32433049999999
Retail Store,98108,GREATER DUWAMISH,47.54698628,-122.32880120000002
Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54329841,-122.3308777
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.53605811,-122.33228999999999
Distribution Center,98108,GREATER DUWAMISH,47.52593209,-122.3308402
Retail Store,98126,DELRIDGE NEIGHBORHOODS,47.52224416,-122.3684832
Parking,98105,NORTHEAST,47.66482021,-122.29765115
Supermarket/Grocery Store,98144,GREATER DUWAMISH,47.57902013,-122.29982450000001
Office,98106,SHARED: GREATER DUWAMISH & DELRIDGE NEIGHBORHOODS,47.54106841,-122.33768290000002
Parking,98125,SHARED: NORTH & NORTHWEST,47.70911192,-122.3246608
Office,98119,MAGNOLIA / QUEEN ANNE,47.62566459,-122.3680201
Non-Refrigerated Warehouse,98106,SOUTHWEST,47.57260151,-122.35779879999998
Office,98109,MAGNOLIA / QUEEN ANNE,47.63266558,-122.34168580000001
Mixed Use Property,98105,NORTHEAST,47.65836686,-122.31287375
